"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P","TA"
2007-04-24,1899-12-31 20:57:10,"84N,135W",84.4781,-134.709633333333,120,120.7279,33.1841,-1.403,33.1841,-1.28397531791432,66.0091506542125,35.5354,15.471,0.0394,0.0472,1.7723,2258.9
2007-04-25,1899-12-31 01:22:55,"86N,135W",85.7418666666667,-134.1485,20,20.96,30.0186,-1.641,30.0231,-3.91151183578673,67.5283566596034,8.358,0.9541,0.0296,0.0805,0.7215,2141.7
2007-04-25,1899-12-31 01:22:55,"86N,135W",85.7418666666667,-134.1485,60,61.4718,31.0681,-1.5381,31.0681,-2.13839471497353,58.8186360015421,11.5,3.6695,0.0286,0.0639,1.0339,2157.1
2007-04-25,1899-12-31 01:22:55,"86N,135W",85.7418666666667,-134.1485,100,101.5325,33.3636,-1.4695,33.3636,-1.12179341293503,58.6866978555382,23.94905,12.17725,0.02965,0.0223,1.27255,2265.7
2007-04-25,1899-12-31 01:22:55,"86N,135W",85.7418666666667,-134.1485,120,121.6777,33.9167,-1.5142,33.9167,-0.723262411763145,49.7095326719346,11.088,9.5396,0.0245,0.0144,0.8187,2280.6
2007-04-28,1899-12-31 16:18:17,"87N,135W",87.1738333333333,-136.182383333333,20,21.09,31.0431,-1.6972,31.0497,-3.65538359590855,62.4896030016703,6.7263,1.9831,0.05,0.05545,0.57995,2196
2007-04-28,1899-12-31 16:18:17,"87N,135W",87.1738333333333,-136.182383333333,60,61.2542,31.7513,-1.6679,31.7513,-2.70504065690613,58.1809260435567,8.9138,3.961,0.0449,0.0433,0.7273,2224.9
2007-04-28,1899-12-31 16:18:17,"87N,135W",87.1738333333333,-136.182383333333,80,80.8789,32.7232,-1.6337,32.7232,-2.03060321526947,56.3200570106292,13.0432,6.9354,0.0439,0.0266,0.8894,2248.2
2007-04-28,1899-12-31 16:18:17,"87N,135W",87.1738333333333,-136.182383333333,100,101.0781,33.5877,-1.5799,33.5877,-0.941812400611467,51.3271253817734,13.2103,9.6112,0.0429,0.0185,0.9336,2263.5
2007-04-28,1899-12-31 16:18:17,"87N,135W",87.1738333333333,-136.182383333333,120,120.6766,34.0067,-1.5005,34.0067,-0.539325099152966,48.0822931414562,6.8949,8.8652,0.049,0.0872,0.7302,2268.6
2007-04-28,1899-12-31 20:15:17,"89N,135W",88.5841666666667,-136.026866666667,20,21.71,30.6223,-1.6743,30.6318,-3.91052299648983,66.5823450453314,7.4165,1.9388,0.0503,1.0686,0.5371,2198.9
2007-04-28,1899-12-31 20:15:17,"89N,135W",88.5841666666667,-136.026866666667,60,59.6107,32.4577,-1.7122,32.4577,-2.30304801087083,54.0420690064498,8.0626,4.5917,0.0366,0.031,0.6441,2237
2007-04-28,1899-12-31 20:15:17,"89N,135W",88.5841666666667,-136.026866666667,80,80.4108,33.2855,-1.6373,33.2855,-1.46296796249047,51.0151896222987,11.1606,7.9472,0.0445,0.1243,0.8456,2249.8
2007-04-28,1899-12-31 20:15:17,"89N,135W",88.5841666666667,-136.026866666667,100,101.5503,33.9156,-1.5608,33.9156,-0.484935636976733,46.4159962770592,6.7214,8.3478,0.0452,0.0391,0.7373,-99
2007-04-28,1899-12-31 20:15:17,"89N,135W",88.5841666666667,-136.026866666667,120,121.6113,34.1676,-1.2625,34.1676,-0.232763225835667,48.0884732077437,5.7327,8.8359,0.0387,0.0049,0.7057,2275
2007-04-25,1899-12-31 20:14:50,"NP",89.9554333333333,169.121016666667,20,21.635,32.3848,-1.7731,32.3848,-2.62296086511958,55.071845083436,5.4538,2.9853,0.0291,0.0866,0.4335,2246.2
2007-04-25,1899-12-31 20:14:50,"NP",89.9554333333333,169.121016666667,60,59.5028,32.8354,-1.7548,32.8354,-2.05038094430656,51.2884199174602,5.4383,4.0906,0.0316,0.0657,0.45885,2256.2
2007-04-25,1899-12-31 20:14:50,"NP",89.9554333333333,169.121016666667,80,80.4427,33.6295,-1.6519,33.6295,-0.901266688591897,46.3958220319338,6.514,7.1014,0.027,0.0447,0.6084,2262.8
2007-04-25,1899-12-31 20:14:50,"NP",89.9554333333333,169.121016666667,100,101.5595,34.0772,-1.4787,34.0772,-0.261440980094391,45.7337707297744,5.7762,7.9254,0.0334,0.0534,0.6578,2270.8
2007-04-25,1899-12-31 20:14:50,"NP",89.9554333333333,169.121016666667,120,120.604,34.2327,-1.2085,34.2327,-0.258474933753175,45.4521514125654,5.4022,8.5772,0.0256,0.1215,0.657,2275.7
2007-04-25,1899-12-31 20:14:50,"NP",89.9554333333333,169.121016666667,300,298.511,34.8484,1.2548,34.8484,0.224608193222268,45.0708388304229,5.3919,12.1385,0.0249,0.0283,0.7744,-99
