"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P"
2002-04-27,1899-12-31 14:33:00,"Hydro-0",85.1783333333333,165.273333333333,5,2.6,31.855,-1.746,31.855,-2.9,53.3,4.51,2.187,0.023,-99,0.35
2002-04-27,1899-12-31 14:33:00,"Hydro-0",85.1783333333333,165.273333333333,100,97.5,34.101,-1.556,34.101,-0.52,45.2,5.42,8.282,0.018,-99,0.671
2002-04-27,1899-12-31 14:33:00,"Hydro-0",85.1783333333333,165.273333333333,110,106.6,34.183,-1.43,34.183,-0.36,43.2,5.14,8.576,0.014,-99,0.675
2002-04-27,1899-12-31 14:33:00,"Hydro-0",85.1783333333333,165.273333333333,260,249.5,34.855,1.12,34.855,0.19,43,6.31,12.569,0.011,-99,0.851
2002-04-27,1899-12-31 18:50:00,"Hydro-1",86.6183333333333,164.991666666667,5,3,30.85,-1.695,30.85,-4.18,62,6.57,2.367,0.013,-99,0.453
2002-04-27,1899-12-31 18:50:00,"Hydro-1",86.6183333333333,164.991666666667,60,60.4,33.365,-1.713,33.365,-1.48,47.5,7.43,6.742,0.018,-99,0.666
2002-04-27,1899-12-31 18:50:00,"Hydro-1",86.6183333333333,164.991666666667,110,109.6,34.22,-1.22,34.22,-0.34,42.6,5.34,8.97,0.02,-99,0.692
2002-04-27,1899-12-31 18:50:00,"Hydro-1",86.6183333333333,164.991666666667,260,251.5,34.861,1.064,34.861,0.24,41.3,6.25,12.614,0.016,-99,0.854
2002-04-28,1899-12-31 10:41:00,"Helo-8 Borneo",88.5016666666667,71.235,5,2.2,33.549,-1.849,33.549,-1.6,46.1,3.06,3.237,0.023,-99,0.371
