"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P"
2000-04-22,1899-12-31 14:01:00,1,89.68,-138.77,5,12.3593287265548,32.097,-1.752,32.134,-3.37,60.2,6.55,2.93,0.01,0.04,0.51
2000-04-22,1899-12-31 14:01:00,1,89.68,-138.77,125,134.254689042448,34.255,-1.398,34.256,-0.36,44.1,3.56,7.51,0,0.02,0.61
2000-04-21,1899-12-31 14:01:00,1,89.68,-138.77,350,373.24777887463,34.886,1.375,34.356,-0.12,45.9,4.75,9.24,0,0.02,0.71
2000-04-24,1899-12-31 18:43:00,2,89.043,-92.05,5,5.16288252714709,-99,-1.793,33.756,-2.97,58.3,5.65,3.37,0.01,0.04,0.49
2000-04-24,1899-12-31 18:43:00,2,89.043,-92.05,125,136.031589338598,34.191,-1.28,36.026,-0.9,43.9,5.48,7.4,0,0.03,0.64
2000-04-23,1899-12-31 20:30:00,3,89.14,64.457,5,10.8588351431392,33.02,-1.811,33.891,-2.33,52.4,4.79,3.61,0.01,0.03,0.46
2000-04-22,1899-12-31 20:47:00,4,87.485,-90.85,5,12.6357354392892,31.46,-1.749,32.278,-99,56.3,5.43,2.03,0.01,0.02,0.65
2000-04-22,1899-12-31 19:08:00,5,85.955,-68.634,5,5.81441263573544,30.31,-1.661,30.366,-2.88,71.3,2.99,0.54,0.01,0.03,0.76
2000-04-22,1899-12-31 19:08:00,5,85.955,-68.634,125,158.440276406713,34.329,-0.651,34.37,-0.14,51.1,14.66,12.54,0.01,0.03,1.04
2000-04-25,1899-12-31 17:30:00,6,84.933,-67.468,5,4.90621915103653,-99,-1.66,31.092,-2.93,67.3,2.82,0.46,0.01,0.03,0.77
2000-04-25,1899-12-31 17:30:00,6,84.933,-67.468,125,130.602171767029,33.706,-1.53,34.341,-1.01,53.5,18.64,10.66,0,0.01,1.1
2000-04-28,1899-12-31 16:45:00,7,86.849,-96.226,5,5.53800592300099,-99,-1.718,31.658,-3.19,62.3,5.76,1.42,0.01,0.07,0.71
2000-04-28,1899-12-31 16:45:00,7,86.849,-96.226,125,133.267522211254,34.01,-1.48,34.496,-0.56,-99,11.03,9.98,0,0.05,0.87
