"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P"
2005-04-25,1899-12-31 19:28:00,"Borneo",89.3583333333333,147.448333333333,10,9.9,31.3909,-1.7281,31.4801,-2.94,128,8.3,1.791,0.069,0.005,1.06
2005-04-25,1899-12-31 19:28:00,"Borneo",89.3583333333333,147.448333333333,15,16.4,31.3964,-1.7289,31.3964,-2.87,110,8.22,1.613,0.067,-0.012,1.063
2005-04-25,1899-12-31 19:28:00,"Borneo",89.3583333333333,147.448333333333,40,43,32.3504,-1.7848,32.3504,-2.81,54.3,4.56,2.343,0.067,0.015,0.688
2005-04-25,1899-12-31 19:28:00,"Borneo",89.3583333333333,147.448333333333,60,58.8,32.5878,-1.7925,32.5878,-2.76,57.8,4.54,2.898,0.092,0.067,0.617
2005-04-25,1899-12-31 19:28:00,"Borneo",89.3583333333333,147.448333333333,150,147.7,34.3866,-0.9882,34.3866,-0.13,41.5,5.17,9.179,0.081,0.12,0.72
2005-04-25,1899-12-31 19:28:00,"Borneo",89.3583333333333,147.448333333333,300,250.2,34.8419,0.8136,34.8419,0.16,40.7,5.2,11.649,0.131,0.006,0.828
2005-04-27,1899-12-31 00:04:00,"St86-90E",86.115,90.0516666666667,20,20.168,33.5817,-1.8527,33.5715,-1.72,49.5,3.21,3.51,0.05,0.042,0.428
2005-04-27,1899-12-31 00:04:00,"St86-90E",86.115,90.0516666666667,60,61.3,33.8278,-1.7409,33.8278,-0.9,47,4.2,6.44,0.06,0.013,0.578
2005-04-27,1899-12-31 00:04:00,"St86-90E",86.115,90.0516666666667,100,101.38,34.26,-1.1614,34.26,-0.37,40.4,3.8,7.633,0.067,-0.011,0.622
2005-04-27,1899-12-31 00:04:00,"St86-90E",86.115,90.0516666666667,200,187.7,34.777,1.0163,34.777,0.18,41.7,5.54,12.124,0.046,-0.013,0.838
2005-04-27,1899-12-31 03:07:00,"St87-90E",87,89.8633333333333,20,19.97,33.6937,-1.8646,33.6716,-1.68,47.6,3.02,3.214,0.126,0.031,0.416
2005-04-27,1899-12-31 03:07:00,"St87-90E",87,89.8633333333333,60,60.105,33.693,-1.8625,33.6721,-1.68,50.9,2.98,3.118,0.112,0.002,0.417
2005-04-27,1899-12-31 03:07:00,"St87-90E",87,89.8633333333333,100,99.7,34.1402,-1.5783,34.1402,-0.47,44.6,4.57,7.697,0.133,0.041,0.655
2005-04-27,1899-12-31 03:07:00,"St87-90E",87,89.8633333333333,200,197.9,34.7291,0.7667,34.7291,0.15,40.3,5.46,11.341,0.119,0.022,0.834
2005-04-27,1899-12-31 16:00:00,"St88-90E",88.0716666666667,91.7683333333333,20,20.363,33.0352,-1.8215,33.0312,-2.39,52,3.98,2.409,0.101,-0.015,0.452
2005-04-27,1899-12-31 16:00:00,"St88-90E",88.0716666666667,91.7683333333333,60,63,33.1257,-1.8231,33.1257,-2.14,52.1,4.47,3.035,0.085,0.019,0.485
2005-04-27,1899-12-31 16:00:00,"St88-90E",88.0716666666667,91.7683333333333,100,104.8,34.125,-1.4994,34.125,-0.43,47,5.23,7.583,0.087,0.01,0.67
2005-04-27,1899-12-31 16:00:00,"St88-90E",88.0716666666667,91.7683333333333,200,204.1,34.7212,0.5401,34.7212,0.19,43.8,4.64,9.393,0.107,0.12,0.714
2005-04-27,1899-12-31 21:38:00,"St89-90W",89.0316666666667,-88.5633333333333,20,20.3,31.4982,-1.7356,31.4982,-3.3,61,10,1.773,0.107,0.076,0.88
2005-04-27,1899-12-31 21:38:00,"St89-90W",89.0316666666667,-88.5633333333333,60,62.7,31.6702,-1.7254,31.6702,-3.25,59.6,7.67,2.448,0.092,0.15,0.816
2005-04-27,1899-12-31 21:38:00,"St89-90W",89.0316666666667,-88.5633333333333,100,101.2,33.971,-1.5842,33.971,-0.65,43.9,6.86,8.174,0.076,0.075,0.728
2005-04-27,1899-12-31 21:38:00,"St89-90W",89.0316666666667,-88.5633333333333,200,209.4,34.6638,0.4265,34.6638,0.17,40.5,7.91,11.851,0.059,0.219,0.871
2005-04-28,1899-12-31 01:00:00,"St90N",89.7866666666667,151.516666666667,20,20.3,31.5897,-1.7406,31.5897,-2.94,58.3,6.11,1.339,0.131,0.003,0.867
2005-04-28,1899-12-31 01:00:00,"St90N",89.7866666666667,151.516666666667,60,62.6,32.7051,-1.7428,32.7051,-2.27,52.9,5.62,3.901,0.129,0.001,0.56
2005-04-28,1899-12-31 01:00:00,"St90N",89.7866666666667,151.516666666667,100,100.1,33.9738,-1.5904,33.9738,-0.5,45.2,5.04,6.82,0.08,0.011,0.61
2005-04-28,1899-12-31 01:00:00,"St90N",89.7866666666667,151.516666666667,200,196,34.6428,0.0211,34.6428,0.11,40,4.21,8.538,0.062,0.057,0.679
2005-04-28,1899-12-31 13:43:00,"St87.5-90W",87.45,-89.1483333333333,20,20.011,31.4491,-1.7338,31.4407,-2.9,64.1,8.05,1.438,0.092,0.112,0.912
2005-04-28,1899-12-31 13:43:00,"St87.5-90W",87.45,-89.1483333333333,60,60.342,31.4455,-1.7329,31.4399,-2.95,59.3,6.12,1.444,0.076,0.081,0.9
2005-04-28,1899-12-31 13:43:00,"St87.5-90W",87.45,-89.1483333333333,100,102.4,33.5721,-1.6325,33.5721,-1.06,52.2,20.1,10.5,0.06,0.098,1.146
2005-04-28,1899-12-31 13:43:00,"St87.5-90W",87.45,-89.1483333333333,200,202.7,34.542,0.0445,34.542,0.08,42.7,7.61,11.097,0.053,0.072,0.821
