"Date","Station","Latitude","Longitude","Target_Depth","CTD_Pressure","CTD_Temperature","CTD_Salinity","Bottle_Salinity","unc","d18O","unc_2","Ba","unc_3","PO4","unc_4","Si_OH4","unc_5","NO3","unc_6","NO2","unc_7","NH4","unc_8","O2","Notes"
2013-04-12,"Brno",89.2727666666667,-65.5219166666667,20,"25.657","-1.6952","30.949000000000002","30.9497",NA,"-3.7166963478116086",NA,"56.721298899348426",NA,"0.38956850746268656",NA,"5.0712990866562695",NA,"0.88707604366228587",NA,"4.5019926486968134E-2",NA,"7.2233450657161857E-2",NA,"9.0250000000000004",NA
2013-04-12,"Brno",89.2727666666667,-65.5219166666667,50,"57.295999999999999","-1.7020999999999999","32.892000000000003","32.701900000000002",NA,"-2.0128022217272017",NA,"49.550882794367034",NA,"0.46180835820895516",NA,"5.1653428202272229",NA,"2.5000559411895749",NA,"2.3755402094007592E-2",NA,"6.6819269325016639E-2",NA,"8.36",NA
2013-04-12,"Brno",89.2727666666667,-65.5219166666667,75,"84.11","-1.4664999999999999","33.892000000000003","33.789400000000001",NA,"-0.71436238654150652",NA,"46.252466478566888",0.0742946866226261,"0.69453798507462672",4.23208692042316e-05,"6.82147366896859",0.00311185581444816,"6.0733754065493439",0.00316072478321306,"1.4549145689463141E-2",3.14929513834355e-05,"6.6462748941857802E-2",0.00756229043494272,"nan",NA
2013-04-12,"Brno",89.2727666666667,-65.5219166666667,100,"109.84","-1.0983000000000001","34.234000000000002","34.210099999999997",0.00169705641204585,"-0.28088988194833842",0.0115886755602987,"44.041620537367706",NA,"0.71467776119402981",NA,"5.3451423479616853",NA,"7.4446657251058168",NA,"1.4482334595678339E-2",NA,"6.0971681889062074E-2",NA,"nan",NA
2013-04-12,"Brno",89.2727666666667,-65.5219166666667,150,"162.58000000000001","-0.22489999999999999","34.527999999999999","34.500399999999999",NA,"-4.5858923785276326E-2",NA,"43.005531809316565",NA,"0.70671761194029836",NA,"4.1655312140788592",NA,"7.7385146001336604",NA,"1.4437787926041426E-2",NA,"7.1386099353976384E-2",NA,"7.3010000000000002",NA
2013-04-12,"Brno",89.2727666666667,-65.5219166666667,300,"319.3","0.93489999999999995","34.843000000000004","34.841900000000003",NA,"0.16477940758881354",NA,"41.829485546668018",NA,"0.85915746268656723",NA,"5.8266813455112496",NA,"12.24950228558699",NA,"1.4393236801069279E-2",NA,"7.124462463800392E-2",NA,"6.8719999999999999",NA
2013-04-14,"85N, 90E",84.9723166666667,89.3755333333333,20,"23.326000000000001","-1.8708","34.177999999999997","34.181699999999999",NA,"-0.90274971176250451",0.013286084782105,"44.870555368678893",NA,"0.46228716417910437",NA,"2.0003197326798858",NA,"3.0620445355312995",NA,"1.4304121185119187E-2",NA,"2.8699968812653062E-2",NA,"8.3480000000000008",NA
2013-04-14,"85N, 90E",84.9723166666667,89.3755333333333,50,"55.061999999999998","-1.8304","34.226999999999997","34.225999999999999",NA,"-0.73315174783118575",NA,"42.992022311656143",0.110842545112572,"0.43828701492537314",NA,"1.8990888839385172",NA,"3.5074768612163076",NA,"1.4259556694141244E-2",NA,"7.6103653374916411E-2",NA,"8.2490000000000006",NA
2013-04-14,"85N, 90E",84.9723166666667,89.3755333333333,75,"81.947999999999993","-1.8513999999999999","34.229999999999997","34.229900000000001",NA,"-0.73809641586520613",NA,"42.965592780323618",NA,"0.43442664179104473",4.2320868548395e-05,"1.8907819336155041",0.279040087845101,"3.502544561149477",0.000320907388781712,"1.2631408999777235E-2",0.00217648223344685,"8.1108719091111475E-2",9.86515560018615e-05,"nan",NA
2013-04-14,"85N, 90E",84.9723166666667,89.3755333333333,100,"108.83","-0.86450000000000005","34.356999999999999","34.245199999999997",0.000707106900877002,"-0.56701448566428381",NA,"42.622860372628821",NA,"0.4665964179104477",NA,"1.7879760525729549",NA,"3.916779790599243",NA,"1.1047672087324585E-2",NA,"8.0829619068834818E-2",NA,"nan",NA
2013-04-14,"85N, 90E",84.9723166666667,89.3755333333333,150,"161.37","1.4819","34.792999999999999","34.832999999999998",NA,"0.17961341169087472",NA,"43.582743662626903",NA,"0.82755626865671639",NA,"4.4244640677210976",NA,"11.704204825128093",NA,"1.100293606593898E-2",NA,"7.0110260637112801E-2",NA,"6.8239999999999998",NA
2013-04-14,"85N, 90E",84.9723166666667,89.3755333333333,300,"325.2","1.5109999999999999","34.890999999999998","34.904000000000003",NA,"0.1835687688784928",NA,"42.309824536784994",NA,"0.86370611940298492",NA,"5.0070808108710176",NA,"12.467994043216752",NA,"1.0958195589218111E-2",NA,"6.9968144352862513E-2",NA,"6.8940000000000001",NA
2013-04-14,"86N, 90E",85.9980666666667,89.7314833333333,20,"22.29","-1.8472999999999999","34.057000000000002","34.055999999999997",NA,"-1.0733369865402258",NA,"45.214991530796659",NA,"0.39465582089552237",NA,"1.9701727199821797",NA,"2.9528284629093342",NA,"1.3902880374248156E-2",NA,"2.7336235241701898E-2",NA,"8.3849999999999998",NA
2013-04-14,"86N, 90E",85.9980666666667,89.7314833333333,50,"52.686999999999998","-1.8281000000000001","34.085000000000001","34.091200000000001",NA,"-0.98037949093823173",NA,"44.025479347030881",NA,"0.394715671641791",NA,"1.8691440053464021",NA,"3.0129736645132548",NA,"1.0823947427043894E-2",NA,"6.9541367787925967E-2",NA,"8.3829999999999991",NA
