"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P"
2003-05-09,1899-12-31 18:38:00,1,89.8166666666667,-113,5,1.6,31.263,-1.703,31.263,-3.76,60.2,8.57,1.683,0.027,0.043,0.728
2003-05-09,1899-12-31 18:38:00,1,89.8166666666667,-113,60,61.5,33.399,-1.747,33.399,-1.5,48.1,6.04,4.249,0.021,0.043,0.487
2003-05-09,1899-12-31 18:38:00,1,89.8166666666667,-113,125,126.1,34.256,-1.188,34.256,-0.3,42.8,5.18,8.11,0.01,0.053,0.67
2003-05-09,1899-12-31 18:38:00,1,89.8166666666667,-113,300,300.7,34.871,1.42,34.871,0.27,42.2,6.2,11.706,0.004,0.043,0.846
2003-05-09,1899-12-31 22:27:00,2,88.9833333333333,-88.9833333333333,5,1.8,31.385,-1.725,31.385,-3.57,61.3,8.49,1.693,0.007,0.063,0.795
2003-05-09,1899-12-31 22:27:00,2,88.9833333333333,-88.9833333333333,60,59.7,32.805,-1.682,32.805,-1.8,56.4,16.51,8.159,0.011,0.063,1.109
2003-05-09,1899-12-31 22:27:00,2,88.9833333333333,-88.9833333333333,125,125.8,34.234,-1.11,34.234,-0.29,44.5,5.99,8.721,0.019,0.092,0.759
2003-05-09,1899-12-31 22:27:00,2,88.9833333333333,-88.9833333333333,300,305,34.842,0.884,34.842,0.19,44,6.31,11.777,0.003,0.072,0.878
2003-05-06,1899-12-31 22:38:00,4,87.405,-87.8716666666667,5,2.7,31.744,-1.762,31.744,-3.01,62.8,9.4,1.633,0.017,0.249,1.018
2003-05-06,1899-12-31 22:38:00,4,87.405,-87.8716666666667,50,66.9,31.735,-1.739,31.735,-2.87,63.4,9.43,1.73,0.02,0.239,1.018
2003-05-06,1899-12-31 22:38:00,4,87.405,-87.8716666666667,105,98.5,33.389,-1.722,33.389,-1.44,59.7,12.22,7.67,0,0.249,0.877
2003-05-06,1899-12-31 22:38:00,4,87.405,-87.8716666666667,230,211.6,34.564,-0.039,34.564,-0.05,42.7,8.89,11.377,0.003,0.239,0.883
2003-05-07,1899-12-31 17:42:00,5,85.9966666666667,-68.8,5,1.7,31.541,-1.721,31.541,-2.75,59.8,6.79,1.065,0.015,0.169,0.936
2003-05-07,1899-12-31 17:42:00,5,85.9966666666667,-68.8,60,67.3,31.606,-1.733,31.606,-3.08,62.1,7.91,1.471,0.019,0.12,0.907
2003-05-07,1899-12-31 17:42:00,5,85.9966666666667,-68.8,125,126.5,33.801,-1.625,33.801,-1.1,50.7,11.75,8.496,0.014,0.15,0.858
2003-05-08,1899-12-31 15:25:00,6,84.8916666666667,-66.495,5,1.3,31.444,-1.71,31.444,-2.43,58,4.78,0.649,0.021,0.141,0.912
2003-05-08,1899-12-31 15:25:00,6,84.8916666666667,-66.495,60,62.2,31.436,-1.714,31.436,-2.45,56,4.8,0.745,0.025,0.18,0.918
2003-05-08,1899-12-31 15:25:00,6,84.8916666666667,-66.495,125,125.8,33.791,-1.507,33.791,-1.03,51.7,17.08,10.241,0.009,0.19,1.071
2003-05-08,1899-12-31 15:25:00,6,84.8916666666667,-66.495,300,304.7,34.813,0.423,34.813,0.12,41.4,8.81,12.567,0.003,0.18,0.937
