"Date","Station","Latitude","Longitude","Target_Depth","Date_2","Pressure","Depth","Salinity","In-situ_Temp","Pot_Temp","Sigma","O2","Salinity_1","unc_1","d18O","unc_2","TA","unc_3","Ba","unc_4","PO4","unc_5","N+N","unc_6","Silicate","unc_7","NO2","unc_8","NH4","unc_9"
2011-04-16,"Brno",89.47155,134.032566666667,20,2011-04-16,29.3072,28.978,32.891,-1.8062,-1.8067,26.4663,7.814,"32.921799999999998",NA,-2.06620425925502,NA,"2261.5",6.50538238693914,59.9929359379061,NA,"1.0015000000000001",NA,"5.8662999999999998",NA,"14.0543",NA,"0.031199999999999999",NA,"0.075700000000000003",NA
2011-04-16,"Brno",89.47155,134.032566666667,50,2011-04-16,59.8231,59.147,32.998,-1.8034,-1.8044,26.5533,7.9853,"33.005600000000001",NA,-2.00093615016435,NA,"2261.0999999999999",NA,56.4026356797705,0.121478275824376,"0.84750000000000003",NA,"4.6349999999999998",NA,"11.8629",NA,"0.041500000000000002",NA,"0.035000000000000003",NA
2011-04-16,"Brno",89.47155,134.032566666667,75,2011-04-16,91.3154,90.277,34.015,-1.4639,-1.4659,27.3708,7.1827,"34.014800000000001",NA,-0.484935636976733,0,"2273.3000000000002",NA,44.3234465058222,NA,"0.6774",NA,"7.0994999999999999",NA,"6.9095000000000004",NA,"0.034700000000000002",NA,"0.1128",NA
2011-04-16,"Brno",89.47155,134.032566666667,100,2011-04-16,111.2601,109.99,34.219,-1.2787,-1.2814,27.5305,7.2157,"34.233850000000004",7.0707088581314e-05,-0.278252662790261,NA,"2274.4000000000001",NA,42.8921863834565,NA,"0.65380000000000005",NA,"7.3323",NA,"5.3376000000000001",NA,"0.031300000000000001",NA,"0.017500000000000002",NA
2011-04-16,"Brno",89.47155,134.032566666667,150,2011-04-16,163.9203,162.03,34.531,-0.14128,-0.1471,27.7352,7.0268,"34.542000000000002",NA,0.0154538281177818,NA,"2287.8000000000002",NA,42.7190316656501,NA,"0.73285",0.00261629509037533,"8.9448000000000008",0.00452548339526271,"5.3437999999999999",0.00296984848302433,"0.1162",0.0903682466356408,"0.0043499999999999997",0.00615182899632296
2011-04-16,"Brno",89.47155,134.032566666667,300,2011-04-16,316.0104,312.26,34.858,1.1017,1.0867,27.9255,6.8209,"nan",NA,0.203841624888278,0.0146845147267861,"2294.5999999999999",NA,42.6332133752084,NA,"0.84089999999999998",NA,"11.6187",NA,"5.1856999999999998",NA,"0.0143",NA,"0.085300000000000001",NA
2011-04-17,"86N, 90E",86.0659,89.6661166666667,20,2011-04-17,21.2043,20.967,33.912,-1.8551,-1.8555,27.2977,8.2601,"33.915900000000001",NA,-1.16975565545613,0.00489483824226864,"2289",NA,45.7129573729604,NA,"0.45750000000000002",NA,"3.0337999999999998",NA,"4.4550999999999998",NA,"0.099400000000000002",NA,"0.078",NA
2011-04-17,"86N, 90E",86.0659,89.6661166666667,50,2011-04-17,51.6273,51.046,33.912,-1.8544,-1.8553,27.2977,8.2498,"33.915500000000002",NA,-1.19447852407674,0.0258726211559877,"2290.5999999999999",NA,45.604365733821,NA,"0.43980000000000002",NA,"3.2614000000000001",NA,"4.2064000000000004",NA,"0.022100000000000002",NA,"0.086999999999999994",NA
2011-04-17,"86N, 90E",86.0659,89.6661166666667,75,2011-04-17,76.0474,75.187,34.16,-1.3633,-1.3651,27.4853,7.2509,"34.165199999999999",0.00028284282466177,-0.379121815866487,NA,"2275.6999999999998",NA,43.6472939355859,1.58964365925738,"0.68664999999999998",0.00657609306504102,"7.6246",0.159664711191912,"6.0075000000000003",0.176776695296637,"0.081599999999999992",0.0692964645562817,"0.056399999999999999",0.0428506709399048
2011-04-17,"86N, 90E",86.0659,89.6661166666667,100,2011-04-17,101.8177,100.66,34.354,-0.77429,-0.7772,27.621,7.067,"34.358400000000003",NA,-0.15760578067695,NA,"2287.6999999999998",NA,42.5564902207737,NA,"0.72819999999999996",NA,"8.6648999999999994",NA,"6.1367000000000003",NA,"0.044600000000000001",NA,"0.20810000000000001",NA
2011-04-17,"86N, 90E",86.0659,89.6661166666667,150,2011-04-17,149.87,148.15,34.63,0.43801,0.432,27.7835,6.8706,"34.642600000000002",NA,0.0886335946826898,NA,"2286.5999999999999",NA,42.4431351327707,NA,"0.79710000000000003",NA,"10.178699999999999",NA,"6.4615",NA,"0.048800000000000003",NA,"0.15629999999999999",NA
2011-04-17,"86N, 90E",86.0659,89.6661166666667,300,2011-04-17,300.8329,297.28,34.861,1.2,1.1855,27.9211,6.7779,"34.861899999999999",NA,0.160824050401195,NA,"2308.5500000000002",17.4655374952523,41.849785442287,NA,"0.87139999999999995",NA,"11.982699999999999",NA,"7.0533000000000001",NA,"0.0482",NA,"0.31230000000000002",NA
2011-04-17,"88N, 90E",87.96225,89.715,20,2011-04-17,28.5505,28.23,33.405,-1.8363,-1.8368,26.8849,8.2845,"33.406100000000002",NA,-1.72799669913979,NA,"2295.8499999999999",11.6672618896579,49.9649709031066,NA,"0.53469999999999995",NA,"2.9605999999999999",NA,"5.3166000000000002",NA,"0.047800000000000002",NA,"0",NA
2011-04-17,"88N, 90E",87.96225,89.715,50,2011-04-17,52.0096,51.423,33.419,-1.8368,-1.8377,26.8963,8.2852,"33.421250000000001",0.000353553450438501,-1.67162861527075,NA,"2288.5999999999999",NA,49.9643928061026,NA,"0.52649999999999997",NA,"3.1633",NA,"5.8407999999999998",NA,"0.072499999999999995",NA,"0.1041",NA
