"Date","Time","Station","Latitude","Longitude","Target_Depth","CTD_Depth","CTD_Salinity","CTD_Temperature","Bottle_Salinity","d18O","Ba","Si","NO3","NO2","NH4","P"
2001-04-14,1899-12-31 13:02:00,1,89.472,54.72,5,9.9,32.284,-1.77,32.284,-2.83,56.3,4.96,2.69,0.014,-99,0.384
2001-04-14,1899-12-31 13:02:00,1,89.472,54.72,100,101,34.135,-1.55,34.135,-0.53,45.1,4.97,7.62,0.011,-99,0.665
2001-04-14,1899-12-31 13:02:00,1,89.472,54.72,275,272,34.863,1.43,34.863,0.23,43.3,6.01,12.26,0.006,-99,0.873
2001-04-14,1899-12-31 13:02:00,1,89.472,54.72,500,510,34.881,0.7,34.881,0.19,42.3,6.79,12.45,0.006,-99,0.887
2001-04-12,1899-12-31 22:42:00,2,88.9866666666667,-179.69,5,13.5,31.642,-1.74,31.642,-3.48,58,5.78,2.27,0.006,-99,0.426
2001-04-12,1899-12-31 22:42:00,2,88.9866666666667,-179.69,100,99,33.885,-1.71,33.885,-0.88,48.2,6.56,7.11,0.006,-99,0.663
2001-04-12,1899-12-31 22:42:00,2,88.9866666666667,-179.69,275,276,34.835,0.91,34.835,0.25,43.4,7.08,12.52,0.006,-99,0.88
2001-04-12,1899-12-31 08:53:00,3,87.245,179.808333333333,5,5,31.711,-99,31.711,-3.75,69.5,6.33,2.21,0.008,-99,0.523
2001-04-12,1899-12-31 08:53:00,3,87.245,179.808333333333,100,104,34.01,-1.57,34.01,-0.54,49.5,5.57,7.9,0.008,-99,0.676
2001-04-12,1899-12-31 08:53:00,3,87.245,179.808333333333,275,276,34.846,1.06,34.846,0.24,45.4,6.35,12.44,0.011,-99,0.873
2001-04-13,1899-12-31 20:03:00,4,86.1366666666667,-171.033333333333,5,11,31.409,-1.73,31.409,-3.65,61.3,6.38,2.21,0.008,-99,0.491
2001-04-13,1899-12-31 20:03:00,4,86.1366666666667,-171.033333333333,75,75,33.382,-1.75,33.382,-1.13,53,7.16,6.2,0.008,-99,0.646
2001-04-13,1899-12-31 20:03:00,4,86.1366666666667,-171.033333333333,100,99,33.934,-1.62,33.934,-0.72,47.8,5.65,7.49,0.005,-99,0.648
2001-04-13,1899-12-31 20:03:00,4,86.1366666666667,-171.033333333333,275,276,34.851,1.11,34.851,0.22,43.9,6.44,12.5,0.005,-99,0.865
2001-04-13,1899-12-31 20:03:00,4,86.1366666666667,-171.033333333333,500,505,34.869,0.52,34.869,0.18,43.7,6.95,12.85,0.005,-99,0.889
2001-04-13,1899-12-31 16:56:00,5,85.0216666666667,-166.481666666667,5,3,31.144,-1.73,31.144,-3.45,66.6,8.77,1.29,0.018,-99,0.809
2001-04-13,1899-12-31 16:56:00,5,85.0216666666667,-166.481666666667,75,75,33.427,-1.76,33.427,-1.44,50.1,9.04,6.74,0.01,-99,0.719
2001-04-13,1899-12-31 16:56:00,5,85.0216666666667,-166.481666666667,275,276,34.835,0.86,34.835,0.21,41.6,6.75,12.6,0.013,-99,0.867
2001-04-13,1899-12-31 16:56:00,5,85.0216666666667,-166.481666666667,500,512,34.869,0.47,34.869,0.21,42.9,7.3,12.95,0.006,-99,0.897
